
                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
2026-03-04 17:31:41,613 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
GPU: NVIDIA H200 | Peak FLOPS (BF16): 9.89e+14
✓ Using Flash Attention 3 (Hopper GPU detected), efficient, new and awesome.
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 12,
  "n_head": 6,
  "n_kv_head": 6,
  "n_embd": 768,
  "window_pattern": "SSSL",
  "use_chunk_rope": false,
  "use_fused_ce": false,
  "use_param_rmsnorm": false,
  "use_proj_scalars": false,
  "use_backout": false,
  "use_smear": false,
  "use_attn_gate": false,
  "use_half_truncated_rope": false,
  "use_partial_key_offset": false,
  "bigram_vocab_multiplier": 0,
  "use_unet_skip": false,
  "use_fused_mlp": false,
  "use_paired_heads": false
}
torch.compile mode: default
Parameter counts:
wte                     : 25,165,824
value_embeds            : 150,994,944
lm_head                 : 25,165,824
transformer_matrices    : 84,935,808
scalars                 : 24
total                   : 286,262,424
Estimated FLOPs per token: 8.021676e+08
Auto-computed optimal batch size: 524,288 tokens
Scaling the LR for the AdamW parameters ∝1/√(768/768) = 1.000000
Calculated number of iterations from target data:param ratio: 420
Total number of training tokens: 220,200,960
Tokens : Scaling params ratio: 2.00
Total training FLOPs estimate: 1.766381e+17
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 65,536
Total batch size 524,288 => gradient accumulation steps: 8
Step 00000 | Validation bpb: 3.228592
step 00000/00420 (0.00%) | loss: 10.397885 | lrm: 1.00 | dt: 33615.67ms | tok/sec: 15,596 | bf16_mfu: 1.27 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00001/00420 (0.24%) | loss: 10.672508 | lrm: 1.00 | dt: 920.31ms | tok/sec: 569,684 | bf16_mfu: 46.21 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00002/00420 (0.48%) | loss: 10.508206 | lrm: 1.00 | dt: 932.88ms | tok/sec: 562,013 | bf16_mfu: 45.58 | epoch: 1 pq: 0 rg: 3 | total time: 0.00m
step 00003/00420 (0.71%) | loss: 10.328390 | lrm: 1.00 | dt: 940.06ms | tok/sec: 557,716 | bf16_mfu: 45.24 | epoch: 1 pq: 0 rg: 4 | total time: 0.00m
step 00004/00420 (0.95%) | loss: 9.895253 | lrm: 1.00 | dt: 940.28ms | tok/sec: 557,586 | bf16_mfu: 45.23 | epoch: 1 pq: 0 rg: 5 | total time: 0.00m
step 00005/00420 (1.19%) | loss: 9.470302 | lrm: 1.00 | dt: 945.61ms | tok/sec: 554,443 | bf16_mfu: 44.97 | epoch: 1 pq: 0 rg: 6 | total time: 0.00m
step 00006/00420 (1.43%) | loss: 9.737015 | lrm: 1.00 | dt: 944.23ms | tok/sec: 555,253 | bf16_mfu: 45.04 | epoch: 1 pq: 0 rg: 7 | total time: 0.00m
step 00007/00420 (1.67%) | loss: 9.407530 | lrm: 1.00 | dt: 949.75ms | tok/sec: 552,027 | bf16_mfu: 44.77 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00008/00420 (1.90%) | loss: 9.104598 | lrm: 1.00 | dt: 942.14ms | tok/sec: 556,487 | bf16_mfu: 45.14 | epoch: 1 pq: 0 rg: 9 | total time: 0.00m
step 00009/00420 (2.14%) | loss: 8.812968 | lrm: 1.00 | dt: 950.02ms | tok/sec: 551,868 | bf16_mfu: 44.76 | epoch: 1 pq: 0 rg: 10 | total time: 0.00m
step 00010/00420 (2.38%) | loss: 8.566307 | lrm: 1.00 | dt: 953.14ms | tok/sec: 550,066 | bf16_mfu: 44.62 | epoch: 1 pq: 0 rg: 12 | total time: 0.00m
step 00011/00420 (2.62%) | loss: 8.338948 | lrm: 1.00 | dt: 943.07ms | tok/sec: 555,937 | bf16_mfu: 45.09 | epoch: 1 pq: 0 rg: 13 | total time: 0.02m | eta: 6.4m
step 00012/00420 (2.86%) | loss: 8.125017 | lrm: 1.00 | dt: 949.53ms | tok/sec: 552,157 | bf16_mfu: 44.78 | epoch: 1 pq: 0 rg: 14 | total time: 0.03m | eta: 6.4m
step 00013/00420 (3.10%) | loss: 7.922279 | lrm: 1.00 | dt: 946.43ms | tok/sec: 553,963 | bf16_mfu: 44.93 | epoch: 1 pq: 0 rg: 15 | total time: 0.05m | eta: 6.4m
step 00014/00420 (3.33%) | loss: 7.741378 | lrm: 1.00 | dt: 947.21ms | tok/sec: 553,505 | bf16_mfu: 44.89 | epoch: 1 pq: 0 rg: 16 | total time: 0.06m | eta: 6.4m
step 00015/00420 (3.57%) | loss: 7.573177 | lrm: 1.00 | dt: 955.62ms | tok/sec: 548,634 | bf16_mfu: 44.50 | epoch: 1 pq: 0 rg: 17 | total time: 0.08m | eta: 6.4m
step 00016/00420 (3.81%) | loss: 7.415417 | lrm: 1.00 | dt: 944.69ms | tok/sec: 554,986 | bf16_mfu: 45.01 | epoch: 1 pq: 0 rg: 18 | total time: 0.09m | eta: 6.4m
step 00017/00420 (4.05%) | loss: 7.269033 | lrm: 1.00 | dt: 952.30ms | tok/sec: 550,551 | bf16_mfu: 44.65 | epoch: 1 pq: 0 rg: 19 | total time: 0.11m | eta: 6.4m
step 00018/00420 (4.29%) | loss: 7.134290 | lrm: 1.00 | dt: 949.06ms | tok/sec: 552,428 | bf16_mfu: 44.81 | epoch: 1 pq: 0 rg: 20 | total time: 0.13m | eta: 6.4m
step 00019/00420 (4.52%) | loss: 7.023506 | lrm: 1.00 | dt: 953.53ms | tok/sec: 549,838 | bf16_mfu: 44.60 | epoch: 1 pq: 0 rg: 21 | total time: 0.14m | eta: 6.3m
step 00020/00420 (4.76%) | loss: 6.911328 | lrm: 1.00 | dt: 950.16ms | tok/sec: 551,789 | bf16_mfu: 44.76 | epoch: 1 pq: 0 rg: 22 | total time: 0.16m | eta: 6.3m
step 00021/00420 (5.00%) | loss: 6.812896 | lrm: 1.00 | dt: 951.57ms | tok/sec: 550,969 | bf16_mfu: 44.69 | epoch: 1 pq: 0 rg: 23 | total time: 0.17m | eta: 6.3m
step 00022/00420 (5.24%) | loss: 6.728332 | lrm: 1.00 | dt: 949.73ms | tok/sec: 552,040 | bf16_mfu: 44.78 | epoch: 1 pq: 0 rg: 24 | total time: 0.19m | eta: 6.3m
step 00023/00420 (5.48%) | loss: 6.645465 | lrm: 1.00 | dt: 951.43ms | tok/sec: 551,051 | bf16_mfu: 44.70 | epoch: 1 pq: 0 rg: 25 | total time: 0.21m | eta: 6.3m
step 00024/00420 (5.71%) | loss: 6.565628 | lrm: 1.00 | dt: 954.76ms | tok/sec: 549,131 | bf16_mfu: 44.54 | epoch: 1 pq: 0 rg: 26 | total time: 0.22m | eta: 6.3m
step 00025/00420 (5.95%) | loss: 6.501725 | lrm: 1.00 | dt: 960.24ms | tok/sec: 545,998 | bf16_mfu: 44.29 | epoch: 1 pq: 0 rg: 27 | total time: 0.24m | eta: 6.3m
step 00026/00420 (6.19%) | loss: 6.434355 | lrm: 1.00 | dt: 948.14ms | tok/sec: 552,964 | bf16_mfu: 44.85 | epoch: 1 pq: 0 rg: 28 | total time: 0.25m | eta: 6.2m
step 00027/00420 (6.43%) | loss: 6.373722 | lrm: 1.00 | dt: 953.14ms | tok/sec: 550,064 | bf16_mfu: 44.62 | epoch: 1 pq: 0 rg: 30 | total time: 0.27m | eta: 6.2m
step 00028/00420 (6.67%) | loss: 6.313015 | lrm: 1.00 | dt: 956.77ms | tok/sec: 547,976 | bf16_mfu: 44.45 | epoch: 1 pq: 0 rg: 30 | total time: 0.29m | eta: 6.2m
step 00029/00420 (6.90%) | loss: 6.260139 | lrm: 1.00 | dt: 953.73ms | tok/sec: 549,724 | bf16_mfu: 44.59 | epoch: 1 pq: 0 rg: 31 | total time: 0.30m | eta: 6.2m
step 00030/00420 (7.14%) | loss: 6.214134 | lrm: 1.00 | dt: 950.67ms | tok/sec: 551,493 | bf16_mfu: 44.73 | epoch: 1 pq: 0 rg: 32 | total time: 0.32m | eta: 6.2m
step 00031/00420 (7.38%) | loss: 6.171966 | lrm: 1.00 | dt: 957.97ms | tok/sec: 547,290 | bf16_mfu: 44.39 | epoch: 1 pq: 0 rg: 33 | total time: 0.33m | eta: 6.2m
step 00032/00420 (7.62%) | loss: 6.132092 | lrm: 1.00 | dt: 950.35ms | tok/sec: 551,681 | bf16_mfu: 44.75 | epoch: 1 pq: 0 rg: 34 | total time: 0.35m | eta: 6.2m
step 00033/00420 (7.86%) | loss: 6.093135 | lrm: 1.00 | dt: 951.50ms | tok/sec: 551,011 | bf16_mfu: 44.69 | epoch: 1 pq: 0 rg: 35 | total time: 0.36m | eta: 6.1m
step 00034/00420 (8.10%) | loss: 6.063081 | lrm: 1.00 | dt: 956.67ms | tok/sec: 548,037 | bf16_mfu: 44.45 | epoch: 1 pq: 0 rg: 36 | total time: 0.38m | eta: 6.1m
step 00035/00420 (8.33%) | loss: 6.026752 | lrm: 1.00 | dt: 957.44ms | tok/sec: 547,593 | bf16_mfu: 44.41 | epoch: 1 pq: 0 rg: 37 | total time: 0.40m | eta: 6.1m
step 00036/00420 (8.57%) | loss: 5.993652 | lrm: 1.00 | dt: 965.32ms | tok/sec: 543,121 | bf16_mfu: 44.05 | epoch: 1 pq: 0 rg: 38 | total time: 0.41m | eta: 6.1m
step 00037/00420 (8.81%) | loss: 5.970624 | lrm: 1.00 | dt: 959.88ms | tok/sec: 546,202 | bf16_mfu: 44.30 | epoch: 1 pq: 0 rg: 39 | total time: 0.43m | eta: 6.1m
step 00038/00420 (9.05%) | loss: 5.932149 | lrm: 1.00 | dt: 958.74ms | tok/sec: 546,852 | bf16_mfu: 44.35 | epoch: 1 pq: 0 rg: 40 | total time: 0.44m | eta: 6.1m
