
                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
2026-03-04 17:43:29,146 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
GPU: NVIDIA H200 | Peak FLOPS (BF16): 9.89e+14
✓ Using Flash Attention 3 (Hopper GPU detected), efficient, new and awesome.
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 12,
  "n_head": 6,
  "n_kv_head": 6,
  "n_embd": 768,
  "window_pattern": "SSSL",
  "use_chunk_rope": true,
  "use_fused_ce": false,
  "use_param_rmsnorm": false,
  "use_proj_scalars": false,
  "use_backout": false,
  "use_smear": false,
  "use_attn_gate": false,
  "use_half_truncated_rope": false,
  "use_partial_key_offset": false,
  "bigram_vocab_multiplier": 0,
  "use_unet_skip": false,
  "use_fused_mlp": false,
  "use_paired_heads": false
}
torch.compile mode: default
Parameter counts:
wte                     : 25,165,824
value_embeds            : 150,994,944
lm_head                 : 25,165,824
transformer_matrices    : 84,935,808
scalars                 : 24
total                   : 286,262,424
Estimated FLOPs per token: 8.021676e+08
Auto-computed optimal batch size: 524,288 tokens
Scaling the LR for the AdamW parameters ∝1/√(768/768) = 1.000000
Calculated number of iterations from target data:param ratio: 420
Total number of training tokens: 220,200,960
Tokens : Scaling params ratio: 2.00
Total training FLOPs estimate: 1.766381e+17
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 65,536
Total batch size 524,288 => gradient accumulation steps: 8
Step 00000 | Validation bpb: 3.228592
step 00000/00420 (0.00%) | loss: 10.397885 | lrm: 1.00 | dt: 25532.04ms | tok/sec: 20,534 | bf16_mfu: 1.67 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00001/00420 (0.24%) | loss: 10.672507 | lrm: 1.00 | dt: 895.70ms | tok/sec: 585,338 | bf16_mfu: 47.48 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00002/00420 (0.48%) | loss: 10.508205 | lrm: 1.00 | dt: 918.58ms | tok/sec: 570,756 | bf16_mfu: 46.29 | epoch: 1 pq: 0 rg: 3 | total time: 0.00m
step 00003/00420 (0.71%) | loss: 10.328380 | lrm: 1.00 | dt: 922.20ms | tok/sec: 568,519 | bf16_mfu: 46.11 | epoch: 1 pq: 0 rg: 4 | total time: 0.00m
step 00004/00420 (0.95%) | loss: 9.895267 | lrm: 1.00 | dt: 925.92ms | tok/sec: 566,233 | bf16_mfu: 45.93 | epoch: 1 pq: 0 rg: 5 | total time: 0.00m
step 00005/00420 (1.19%) | loss: 9.470332 | lrm: 1.00 | dt: 929.11ms | tok/sec: 564,292 | bf16_mfu: 45.77 | epoch: 1 pq: 0 rg: 6 | total time: 0.00m
step 00006/00420 (1.43%) | loss: 9.738015 | lrm: 1.00 | dt: 924.63ms | tok/sec: 567,022 | bf16_mfu: 45.99 | epoch: 1 pq: 0 rg: 7 | total time: 0.00m
step 00007/00420 (1.67%) | loss: 9.407305 | lrm: 1.00 | dt: 929.79ms | tok/sec: 563,876 | bf16_mfu: 45.74 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00008/00420 (1.90%) | loss: 9.105563 | lrm: 1.00 | dt: 932.19ms | tok/sec: 562,428 | bf16_mfu: 45.62 | epoch: 1 pq: 0 rg: 9 | total time: 0.00m
step 00009/00420 (2.14%) | loss: 8.813706 | lrm: 1.00 | dt: 932.29ms | tok/sec: 562,365 | bf16_mfu: 45.61 | epoch: 1 pq: 0 rg: 10 | total time: 0.00m
step 00010/00420 (2.38%) | loss: 8.567490 | lrm: 1.00 | dt: 925.48ms | tok/sec: 566,502 | bf16_mfu: 45.95 | epoch: 1 pq: 0 rg: 12 | total time: 0.00m
step 00011/00420 (2.62%) | loss: 8.340092 | lrm: 1.00 | dt: 932.87ms | tok/sec: 562,017 | bf16_mfu: 45.58 | epoch: 1 pq: 0 rg: 13 | total time: 0.02m | eta: 6.4m
step 00012/00420 (2.86%) | loss: 8.126073 | lrm: 1.00 | dt: 931.07ms | tok/sec: 563,104 | bf16_mfu: 45.67 | epoch: 1 pq: 0 rg: 14 | total time: 0.03m | eta: 6.3m
step 00013/00420 (3.10%) | loss: 7.923218 | lrm: 1.00 | dt: 930.67ms | tok/sec: 563,344 | bf16_mfu: 45.69 | epoch: 1 pq: 0 rg: 15 | total time: 0.05m | eta: 6.3m
step 00014/00420 (3.33%) | loss: 7.742200 | lrm: 1.00 | dt: 927.88ms | tok/sec: 565,037 | bf16_mfu: 45.83 | epoch: 1 pq: 0 rg: 16 | total time: 0.06m | eta: 6.3m
step 00015/00420 (3.57%) | loss: 7.573903 | lrm: 1.00 | dt: 924.84ms | tok/sec: 566,895 | bf16_mfu: 45.98 | epoch: 1 pq: 0 rg: 17 | total time: 0.08m | eta: 6.3m
step 00016/00420 (3.81%) | loss: 7.416042 | lrm: 1.00 | dt: 922.67ms | tok/sec: 568,226 | bf16_mfu: 46.09 | epoch: 1 pq: 0 rg: 18 | total time: 0.09m | eta: 6.3m
step 00017/00420 (4.05%) | loss: 7.269570 | lrm: 1.00 | dt: 926.29ms | tok/sec: 566,008 | bf16_mfu: 45.91 | epoch: 1 pq: 0 rg: 19 | total time: 0.11m | eta: 6.2m
step 00018/00420 (4.29%) | loss: 7.134745 | lrm: 1.00 | dt: 929.45ms | tok/sec: 564,086 | bf16_mfu: 45.75 | epoch: 1 pq: 0 rg: 20 | total time: 0.12m | eta: 6.2m
step 00019/00420 (4.52%) | loss: 7.023871 | lrm: 1.00 | dt: 926.09ms | tok/sec: 566,129 | bf16_mfu: 45.92 | epoch: 1 pq: 0 rg: 21 | total time: 0.14m | eta: 6.2m
step 00020/00420 (4.76%) | loss: 6.911627 | lrm: 1.00 | dt: 926.97ms | tok/sec: 565,595 | bf16_mfu: 45.87 | epoch: 1 pq: 0 rg: 22 | total time: 0.15m | eta: 6.2m
step 00021/00420 (5.00%) | loss: 6.813133 | lrm: 1.00 | dt: 929.12ms | tok/sec: 564,281 | bf16_mfu: 45.77 | epoch: 1 pq: 0 rg: 23 | total time: 0.17m | eta: 6.2m
step 00022/00420 (5.24%) | loss: 6.728489 | lrm: 1.00 | dt: 928.00ms | tok/sec: 564,965 | bf16_mfu: 45.82 | epoch: 1 pq: 0 rg: 24 | total time: 0.19m | eta: 6.2m
step 00023/00420 (5.48%) | loss: 6.645489 | lrm: 1.00 | dt: 926.46ms | tok/sec: 565,906 | bf16_mfu: 45.90 | epoch: 1 pq: 0 rg: 25 | total time: 0.20m | eta: 6.1m
step 00024/00420 (5.71%) | loss: 6.565565 | lrm: 1.00 | dt: 930.61ms | tok/sec: 563,380 | bf16_mfu: 45.70 | epoch: 1 pq: 0 rg: 26 | total time: 0.22m | eta: 6.1m
step 00025/00420 (5.95%) | loss: 6.501497 | lrm: 1.00 | dt: 927.25ms | tok/sec: 565,422 | bf16_mfu: 45.86 | epoch: 1 pq: 0 rg: 27 | total time: 0.23m | eta: 6.1m
step 00026/00420 (6.19%) | loss: 6.433960 | lrm: 1.00 | dt: 929.20ms | tok/sec: 564,235 | bf16_mfu: 45.76 | epoch: 1 pq: 0 rg: 28 | total time: 0.25m | eta: 6.1m
step 00027/00420 (6.43%) | loss: 6.372767 | lrm: 1.00 | dt: 928.55ms | tok/sec: 564,633 | bf16_mfu: 45.80 | epoch: 1 pq: 0 rg: 30 | total time: 0.26m | eta: 6.1m
step 00028/00420 (6.67%) | loss: 6.312198 | lrm: 1.00 | dt: 934.29ms | tok/sec: 561,162 | bf16_mfu: 45.52 | epoch: 1 pq: 0 rg: 30 | total time: 0.28m | eta: 6.1m
step 00029/00420 (6.90%) | loss: 6.259958 | lrm: 1.00 | dt: 929.31ms | tok/sec: 564,169 | bf16_mfu: 45.76 | epoch: 1 pq: 0 rg: 31 | total time: 0.29m | eta: 6.1m
step 00030/00420 (7.14%) | loss: 6.214301 | lrm: 1.00 | dt: 930.15ms | tok/sec: 563,660 | bf16_mfu: 45.72 | epoch: 1 pq: 0 rg: 32 | total time: 0.31m | eta: 6.0m
