
                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
2026-03-04 18:15:37,599 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
GPU: NVIDIA H200 | Peak FLOPS (BF16): 9.89e+14
✓ Using Flash Attention 3 (Hopper GPU detected), efficient, new and awesome.
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 12,
  "n_head": 6,
  "n_kv_head": 6,
  "n_embd": 768,
  "window_pattern": "SSSL",
  "use_chunk_rope": false,
  "use_fused_ce": false,
  "use_param_rmsnorm": false,
  "use_proj_scalars": false,
  "use_backout": false,
  "use_smear": false,
  "use_attn_gate": false,
  "use_half_truncated_rope": false,
  "use_partial_key_offset": false,
  "bigram_vocab_multiplier": 0,
  "use_unet_skip": true,
  "use_fused_mlp": false,
  "use_paired_heads": false
}
torch.compile mode: default
Parameter counts:
wte                     : 25,165,824
value_embeds            : 150,994,944
lm_head                 : 25,165,824
transformer_matrices    : 84,935,808
scalars                 : 24
total                   : 286,262,437
Estimated FLOPs per token: 8.021676e+08
Auto-computed optimal batch size: 524,288 tokens
Scaling the LR for the AdamW parameters ∝1/√(768/768) = 1.000000
Calculated number of iterations from target data:param ratio: 420
Total number of training tokens: 220,200,960
Tokens : Scaling params ratio: 2.00
Total training FLOPs estimate: 1.766381e+17
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 65,536
Total batch size 524,288 => gradient accumulation steps: 8
Step 00000 | Validation bpb: 3.228593
step 00000/00420 (0.00%) | loss: 10.397890 | lrm: 1.00 | dt: 27171.45ms | tok/sec: 19,295 | bf16_mfu: 1.57 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00001/00420 (0.24%) | loss: 10.672664 | lrm: 1.00 | dt: 937.84ms | tok/sec: 559,040 | bf16_mfu: 45.34 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00002/00420 (0.48%) | loss: 10.510205 | lrm: 1.00 | dt: 949.83ms | tok/sec: 551,980 | bf16_mfu: 44.77 | epoch: 1 pq: 0 rg: 3 | total time: 0.00m
step 00003/00420 (0.71%) | loss: 10.352773 | lrm: 1.00 | dt: 957.23ms | tok/sec: 547,712 | bf16_mfu: 44.42 | epoch: 1 pq: 0 rg: 4 | total time: 0.00m
step 00004/00420 (0.95%) | loss: 9.949399 | lrm: 1.00 | dt: 960.55ms | tok/sec: 545,822 | bf16_mfu: 44.27 | epoch: 1 pq: 0 rg: 5 | total time: 0.00m
step 00005/00420 (1.19%) | loss: 9.583415 | lrm: 1.00 | dt: 957.16ms | tok/sec: 547,751 | bf16_mfu: 44.43 | epoch: 1 pq: 0 rg: 6 | total time: 0.00m
step 00006/00420 (1.43%) | loss: 9.396897 | lrm: 1.00 | dt: 955.77ms | tok/sec: 548,548 | bf16_mfu: 44.49 | epoch: 1 pq: 0 rg: 7 | total time: 0.00m
step 00007/00420 (1.67%) | loss: 9.261618 | lrm: 1.00 | dt: 959.33ms | tok/sec: 546,511 | bf16_mfu: 44.33 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00008/00420 (1.90%) | loss: 9.022499 | lrm: 1.00 | dt: 962.90ms | tok/sec: 544,487 | bf16_mfu: 44.16 | epoch: 1 pq: 0 rg: 9 | total time: 0.00m
step 00009/00420 (2.14%) | loss: 8.775325 | lrm: 1.00 | dt: 960.62ms | tok/sec: 545,779 | bf16_mfu: 44.27 | epoch: 1 pq: 0 rg: 10 | total time: 0.00m
step 00010/00420 (2.38%) | loss: 8.557996 | lrm: 1.00 | dt: 960.91ms | tok/sec: 545,617 | bf16_mfu: 44.25 | epoch: 1 pq: 0 rg: 12 | total time: 0.00m
step 00011/00420 (2.62%) | loss: 8.358008 | lrm: 1.00 | dt: 960.48ms | tok/sec: 545,857 | bf16_mfu: 44.27 | epoch: 1 pq: 0 rg: 13 | total time: 0.02m | eta: 6.5m
step 00012/00420 (2.86%) | loss: 8.151692 | lrm: 1.00 | dt: 960.13ms | tok/sec: 546,058 | bf16_mfu: 44.29 | epoch: 1 pq: 0 rg: 14 | total time: 0.03m | eta: 6.5m
step 00013/00420 (3.10%) | loss: 7.950018 | lrm: 1.00 | dt: 961.58ms | tok/sec: 545,234 | bf16_mfu: 44.22 | epoch: 1 pq: 0 rg: 15 | total time: 0.05m | eta: 6.5m
step 00014/00420 (3.33%) | loss: 7.766518 | lrm: 1.00 | dt: 958.06ms | tok/sec: 547,239 | bf16_mfu: 44.39 | epoch: 1 pq: 0 rg: 16 | total time: 0.06m | eta: 6.5m
step 00015/00420 (3.57%) | loss: 7.601298 | lrm: 1.00 | dt: 960.40ms | tok/sec: 545,907 | bf16_mfu: 44.28 | epoch: 1 pq: 0 rg: 17 | total time: 0.08m | eta: 6.5m
step 00016/00420 (3.81%) | loss: 7.447975 | lrm: 1.00 | dt: 960.90ms | tok/sec: 545,622 | bf16_mfu: 44.25 | epoch: 1 pq: 0 rg: 18 | total time: 0.10m | eta: 6.5m
step 00017/00420 (4.05%) | loss: 7.305032 | lrm: 1.00 | dt: 975.49ms | tok/sec: 537,459 | bf16_mfu: 43.59 | epoch: 1 pq: 0 rg: 19 | total time: 0.11m | eta: 6.5m
step 00018/00420 (4.29%) | loss: 7.172743 | lrm: 1.00 | dt: 964.53ms | tok/sec: 543,570 | bf16_mfu: 44.09 | epoch: 1 pq: 0 rg: 20 | total time: 0.13m | eta: 6.5m
step 00019/00420 (4.52%) | loss: 7.062553 | lrm: 1.00 | dt: 976.05ms | tok/sec: 537,151 | bf16_mfu: 43.57 | epoch: 1 pq: 0 rg: 21 | total time: 0.14m | eta: 6.4m
step 00020/00420 (4.76%) | loss: 6.952725 | lrm: 1.00 | dt: 964.30ms | tok/sec: 543,697 | bf16_mfu: 44.10 | epoch: 1 pq: 0 rg: 22 | total time: 0.16m | eta: 6.4m
step 00021/00420 (5.00%) | loss: 6.855752 | lrm: 1.00 | dt: 973.29ms | tok/sec: 538,675 | bf16_mfu: 43.69 | epoch: 1 pq: 0 rg: 23 | total time: 0.18m | eta: 6.4m
step 00022/00420 (5.24%) | loss: 6.772658 | lrm: 1.00 | dt: 966.78ms | tok/sec: 542,300 | bf16_mfu: 43.99 | epoch: 1 pq: 0 rg: 24 | total time: 0.19m | eta: 6.4m
step 00023/00420 (5.48%) | loss: 6.691795 | lrm: 1.00 | dt: 970.98ms | tok/sec: 539,957 | bf16_mfu: 43.80 | epoch: 1 pq: 0 rg: 25 | total time: 0.21m | eta: 6.4m
step 00024/00420 (5.71%) | loss: 6.612642 | lrm: 1.00 | dt: 971.97ms | tok/sec: 539,408 | bf16_mfu: 43.75 | epoch: 1 pq: 0 rg: 26 | total time: 0.23m | eta: 6.4m
step 00025/00420 (5.95%) | loss: 6.547119 | lrm: 1.00 | dt: 976.58ms | tok/sec: 536,862 | bf16_mfu: 43.54 | epoch: 1 pq: 0 rg: 27 | total time: 0.24m | eta: 6.4m
step 00026/00420 (6.19%) | loss: 6.478713 | lrm: 1.00 | dt: 978.27ms | tok/sec: 535,931 | bf16_mfu: 43.47 | epoch: 1 pq: 0 rg: 28 | total time: 0.26m | eta: 6.4m
step 00027/00420 (6.43%) | loss: 6.417441 | lrm: 1.00 | dt: 968.62ms | tok/sec: 541,273 | bf16_mfu: 43.90 | epoch: 1 pq: 0 rg: 30 | total time: 0.27m | eta: 6.3m
step 00028/00420 (6.67%) | loss: 6.355692 | lrm: 1.00 | dt: 972.89ms | tok/sec: 538,896 | bf16_mfu: 43.71 | epoch: 1 pq: 0 rg: 30 | total time: 0.29m | eta: 6.3m
step 00029/00420 (6.90%) | loss: 6.303334 | lrm: 1.00 | dt: 978.35ms | tok/sec: 535,891 | bf16_mfu: 43.47 | epoch: 1 pq: 0 rg: 31 | total time: 0.31m | eta: 6.3m
step 00030/00420 (7.14%) | loss: 6.256485 | lrm: 1.00 | dt: 976.85ms | tok/sec: 536,715 | bf16_mfu: 43.53 | epoch: 1 pq: 0 rg: 32 | total time: 0.32m | eta: 6.3m
