
                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
2026-03-05 02:36:39,771 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
GPU: NVIDIA A100-SXM4-80GB | Peak FLOPS (BF16): 3.12e+14
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
WARNING: Flash Attention 3 not available, using PyTorch SDPA fallback
WARNING: Training will be less efficient without FA3
WARNING: SDPA has no support for sliding window attention (window_pattern='SSSL'). Your GPU utilization will be terrible.
WARNING: Recommend using --window-pattern L for full context attention without alternating sliding window patterns.
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 12,
  "n_head": 6,
  "n_kv_head": 6,
  "n_embd": 768,
  "window_pattern": "SSSL",
  "use_chunk_rope": false,
  "use_fused_ce": false,
  "use_param_rmsnorm": false,
  "use_proj_scalars": false,
  "use_backout": false,
  "use_smear": false,
  "use_attn_gate": false,
  "use_half_truncated_rope": false,
  "use_partial_key_offset": false,
  "bigram_vocab_multiplier": 0,
  "use_unet_skip": false,
  "use_fused_mlp": false,
  "use_paired_heads": false
}
torch.compile mode: default
Parameter counts:
wte                     : 25,165,824
value_embeds            : 150,994,944
lm_head                 : 25,165,824
transformer_matrices    : 84,935,808
scalars                 : 24
total                   : 286,262,424
Estimated FLOPs per token: 8.021676e+08
Auto-computed optimal batch size: 524,288 tokens
Scaling the LR for the AdamW parameters ∝1/√(768/768) = 1.000000
TEON enabled: 36 QKV params in TEON groups, 42 remaining in Muon groups
Calculated number of iterations from target data:param ratio: 420
Total number of training tokens: 220,200,960
Tokens : Scaling params ratio: 2.00
Total training FLOPs estimate: 1.766381e+17
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 65,536
Total batch size 524,288 => gradient accumulation steps: 8
Step 00000 | Validation bpb: 3.228403
step 00000/00420 (0.00%) | loss: 10.397234 | lrm: 1.00 | dt: 19443.15ms | tok/sec: 26,965 | bf16_mfu: 6.93 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00001/00420 (0.24%) | loss: 10.673378 | lrm: 1.00 | dt: 3910.87ms | tok/sec: 134,059 | bf16_mfu: 34.47 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00002/00420 (0.48%) | loss: 10.510787 | lrm: 1.00 | dt: 3909.06ms | tok/sec: 134,121 | bf16_mfu: 34.48 | epoch: 1 pq: 0 rg: 3 | total time: 0.00m
step 00003/00420 (0.71%) | loss: 10.334932 | lrm: 1.00 | dt: 3906.19ms | tok/sec: 134,219 | bf16_mfu: 34.51 | epoch: 1 pq: 0 rg: 4 | total time: 0.00m
step 00004/00420 (0.95%) | loss: 9.908888 | lrm: 1.00 | dt: 3902.37ms | tok/sec: 134,351 | bf16_mfu: 34.54 | epoch: 1 pq: 0 rg: 5 | total time: 0.00m
step 00005/00420 (1.19%) | loss: 9.496593 | lrm: 1.00 | dt: 3903.97ms | tok/sec: 134,296 | bf16_mfu: 34.53 | epoch: 1 pq: 0 rg: 6 | total time: 0.00m
step 00006/00420 (1.43%) | loss: 9.918503 | lrm: 1.00 | dt: 3903.23ms | tok/sec: 134,321 | bf16_mfu: 34.53 | epoch: 1 pq: 0 rg: 7 | total time: 0.00m
step 00007/00420 (1.67%) | loss: 9.692038 | lrm: 1.00 | dt: 3903.50ms | tok/sec: 134,312 | bf16_mfu: 34.53 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00008/00420 (1.90%) | loss: 9.545250 | lrm: 1.00 | dt: 3904.50ms | tok/sec: 134,277 | bf16_mfu: 34.52 | epoch: 1 pq: 0 rg: 9 | total time: 0.00m
step 00009/00420 (2.14%) | loss: 9.331865 | lrm: 1.00 | dt: 3904.32ms | tok/sec: 134,284 | bf16_mfu: 34.53 | epoch: 1 pq: 0 rg: 10 | total time: 0.00m
step 00010/00420 (2.38%) | loss: 9.056043 | lrm: 1.00 | dt: 3907.20ms | tok/sec: 134,185 | bf16_mfu: 34.50 | epoch: 1 pq: 0 rg: 12 | total time: 0.00m
step 00011/00420 (2.62%) | loss: 8.841144 | lrm: 1.00 | dt: 3905.02ms | tok/sec: 134,259 | bf16_mfu: 34.52 | epoch: 1 pq: 0 rg: 13 | total time: 0.07m | eta: 26.6m
step 00012/00420 (2.86%) | loss: 8.623794 | lrm: 1.00 | dt: 3901.41ms | tok/sec: 134,384 | bf16_mfu: 34.55 | epoch: 1 pq: 0 rg: 14 | total time: 0.13m | eta: 26.5m
step 00013/00420 (3.10%) | loss: 8.398447 | lrm: 1.00 | dt: 3906.51ms | tok/sec: 134,208 | bf16_mfu: 34.51 | epoch: 1 pq: 0 rg: 15 | total time: 0.20m | eta: 26.5m
step 00014/00420 (3.33%) | loss: 8.185704 | lrm: 1.00 | dt: 3908.99ms | tok/sec: 134,123 | bf16_mfu: 34.48 | epoch: 1 pq: 0 rg: 16 | total time: 0.26m | eta: 26.4m
step 00015/00420 (3.57%) | loss: 7.991487 | lrm: 1.00 | dt: 3907.22ms | tok/sec: 134,184 | bf16_mfu: 34.50 | epoch: 1 pq: 0 rg: 17 | total time: 0.33m | eta: 26.4m
step 00016/00420 (3.81%) | loss: 7.809797 | lrm: 1.00 | dt: 3908.81ms | tok/sec: 134,129 | bf16_mfu: 34.49 | epoch: 1 pq: 0 rg: 18 | total time: 0.39m | eta: 26.3m
step 00017/00420 (4.05%) | loss: 7.638511 | lrm: 1.00 | dt: 3907.09ms | tok/sec: 134,188 | bf16_mfu: 34.50 | epoch: 1 pq: 0 rg: 19 | total time: 0.46m | eta: 26.2m
step 00018/00420 (4.29%) | loss: 7.479575 | lrm: 1.00 | dt: 3911.89ms | tok/sec: 134,024 | bf16_mfu: 34.46 | epoch: 1 pq: 0 rg: 20 | total time: 0.52m | eta: 26.2m
step 00019/00420 (4.52%) | loss: 7.345056 | lrm: 1.00 | dt: 3911.84ms | tok/sec: 134,025 | bf16_mfu: 34.46 | epoch: 1 pq: 0 rg: 21 | total time: 0.59m | eta: 26.1m
step 00020/00420 (4.76%) | loss: 7.214615 | lrm: 1.00 | dt: 3905.60ms | tok/sec: 134,239 | bf16_mfu: 34.51 | epoch: 1 pq: 0 rg: 22 | total time: 0.65m | eta: 26.0m
step 00021/00420 (5.00%) | loss: 7.097462 | lrm: 1.00 | dt: 3904.15ms | tok/sec: 134,289 | bf16_mfu: 34.53 | epoch: 1 pq: 0 rg: 23 | total time: 0.72m | eta: 26.0m
step 00022/00420 (5.24%) | loss: 6.995672 | lrm: 1.00 | dt: 3904.02ms | tok/sec: 134,294 | bf16_mfu: 34.53 | epoch: 1 pq: 0 rg: 24 | total time: 0.78m | eta: 25.9m
step 00023/00420 (5.48%) | loss: 6.896818 | lrm: 1.00 | dt: 3903.38ms | tok/sec: 134,316 | bf16_mfu: 34.53 | epoch: 1 pq: 0 rg: 25 | total time: 0.85m | eta: 25.8m
step 00024/00420 (5.71%) | loss: 6.803108 | lrm: 1.00 | dt: 3906.27ms | tok/sec: 134,217 | bf16_mfu: 34.51 | epoch: 1 pq: 0 rg: 26 | total time: 0.91m | eta: 25.8m
step 00025/00420 (5.95%) | loss: 6.724886 | lrm: 1.00 | dt: 3907.47ms | tok/sec: 134,175 | bf16_mfu: 34.50 | epoch: 1 pq: 0 rg: 27 | total time: 0.98m | eta: 25.7m
step 00026/00420 (6.19%) | loss: 6.643800 | lrm: 1.00 | dt: 3907.06ms | tok/sec: 134,189 | bf16_mfu: 34.50 | epoch: 1 pq: 0 rg: 28 | total time: 1.04m | eta: 25.7m
step 00027/00420 (6.43%) | loss: 6.571020 | lrm: 1.00 | dt: 3906.55ms | tok/sec: 134,207 | bf16_mfu: 34.51 | epoch: 1 pq: 0 rg: 30 | total time: 1.11m | eta: 25.6m
step 00028/00420 (6.67%) | loss: 6.500431 | lrm: 1.00 | dt: 3907.08ms | tok/sec: 134,189 | bf16_mfu: 34.50 | epoch: 1 pq: 0 rg: 30 | total time: 1.17m | eta: 25.5m
step 00029/00420 (6.90%) | loss: 6.438605 | lrm: 1.00 | dt: 3904.82ms | tok/sec: 134,266 | bf16_mfu: 34.52 | epoch: 1 pq: 0 rg: 31 | total time: 1.24m | eta: 25.5m
step 00030/00420 (7.14%) | loss: 6.382479 | lrm: 1.00 | dt: 3903.68ms | tok/sec: 134,306 | bf16_mfu: 34.53 | epoch: 1 pq: 0 rg: 32 | total time: 1.30m | eta: 25.4m
step 00031/00420 (7.38%) | loss: 6.330868 | lrm: 1.00 | dt: 3906.03ms | tok/sec: 134,225 | bf16_mfu: 34.51 | epoch: 1 pq: 0 rg: 33 | total time: 1.37m | eta: 25.3m
step 00032/00420 (7.62%) | loss: 6.282636 | lrm: 1.00 | dt: 3907.63ms | tok/sec: 134,170 | bf16_mfu: 34.50 | epoch: 1 pq: 0 rg: 34 | total time: 1.43m | eta: 25.3m
